name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Viagra Corner,2.3,30,5.6,['Trad'],60,1,,,Nevada,03-First Pullou…,2,7,"['5.8', '5.6', '5.8', '5.6']",
ZigZag,1.8,12,5.6,['TR'],40,1,,,Nevada,03-First Pullou…,1,4,"['5.8', '5.6', '5.8', '5.6']",
Winger,1.7,13,5.6,"['Trad', 'TR']",40,1,,,Nevada,03-First Pullou…,1,2,"['5.8', '5.6', '5.8', '5.6']",
Woofers,2.0,12,5.8,"['Trad', 'TR']",40,1,,,Nevada,03-First Pullou…,1,1,"['5.6', '5.6', '5.8', '5.6']",
The Shaft,1.8,5,5.8,['TR'],60,1,,,Nevada,03-First Pullou…,0,5,"['5.6', '5.6', '5.8', '5.6']",
Super Tsardom,1.9,65,5.4,['Sport'],60,1,,,Nevada,03-First Pullou…,1,3,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.9', '5.7', '5.9+']",
East India Trading Co.,1.7,74,5.6,['Sport'],50,1,,,Nevada,03-First Pullou…,1,1,"['5.8', '5.10b', '5.10d', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
The Hot Gates,2.0,2,5.6,['TR'],25,1,,,Nevada,03-First Pullou…,1,1,"['5.8', '5.10b', '5.10d', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
The Three Kingdoms,2.0,108,5.7,['Sport'],70,1,,,Nevada,03-First Pullou…,4,3,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
The Mayan Pass,2.1,13,5.7,['Trad'],70,1,,,Nevada,03-First Pullou…,2,2,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
Meerkat Manor,1.4,17,5.7,['Trad'],75,1,,,Nevada,03-First Pullou…,1,3,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
The Sun Never Sets,2.0,85,5.7,['Sport'],55,1,,,Nevada,03-First Pullou…,2,3,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",
