name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
South Crack,3.4,394,5.8,"['Trad', 'Alpine']",600,6,R,,California,Tuolumne Meadows,32,29,"['5.11c', '5.10c', '5.11a', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Quiet Desperation,3.4,9,5.9,"['Trad', 'Alpine']",600,7,R,II,California,Tuolumne Meadows,1,4,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Dixie Peach,2.2,16,5.9,"['Trad', 'Alpine']",,3,PG13,II,California,Tuolumne Meadows,5,2,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
The Way We Were,1.5,2,5.10a,"['Trad', 'Alpine']",400,3,PG13,II,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.7', '5.7']",
Get Slick,2.7,9,5.10b,"['Trad', 'Alpine']",165,1,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Sweet Nothings,2.1,10,5.10c,"['Trad', 'Alpine']",165,1,R,,California,Tuolumne Meadows,1,0,"['5.11c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Step It Up and Go,2.5,2,5.10c,"['Trad', 'Alpine']",200,2,PG13,II,California,Tuolumne Meadows,0,0,"['5.11c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Barely Anything,2.0,4,5.10c,"['Trad', 'Alpine']",100,1,PG13,II,California,Tuolumne Meadows,0,0,"['5.11c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Footnote,2.2,15,5.10c,"['Trad', 'Alpine']",140,1,R,,California,Tuolumne Meadows,2,2,"['5.11c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
The Way We Could Have Been,2.0,1,5.10c,"['Trad', 'Alpine']",130,1,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
