name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Dogs on a Leash,1.9,32,5.10a,['Sport'],50,1,,,California,Mammoth Lakes Area,0,0,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Warming Trend,2.3,48,5.10a,['Sport'],50,1,,,California,Mammoth Lakes Area,3,3,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Faulty Break,2.0,40,5.10a,['Sport'],50,1,,,California,Mammoth Lakes Area,0,1,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Hot Flash,2.0,44,5.10a,['Sport'],50,1,,,California,Mammoth Lakes Area,0,1,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
[Redacted],2.2,5,5.10b,"['Trad', 'Sport']",300,2,,,California,Little Egypt,0,4,"['5.10c', '5.11b', '5.11d', '5.10', '5.10c', '5.8', '5.9']",
Dodge Ball,2.6,36,5.10b,['Sport'],50,1,,,California,Mammoth Lakes Area,2,4,"['5.10a', '5.11b/c', '5.7', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Ghetto Blaster,1.9,34,5.10b,['Sport'],50,1,,,California,Mammoth Lakes Area,0,0,"['5.10a', '5.11b/c', '5.7', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Oh Zone,2.2,35,5.10c,['Sport'],50,1,,,California,Mammoth Lakes Area,0,2,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Greenhouse Effect,2.3,46,5.10c,['Sport'],40,1,,,California,Mammoth Lakes Area,4,3,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Kyoto Protocol,1.9,8,5.10d,['Sport'],55,1,,,California,Mammoth Lakes Area,1,1,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
